Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1972,-0.24,-0.17,0.02,-0.01,-0.03,0.04,0.02,0.18,0.03,0.09,0.03,0.18,0.01,-0.01,-0.16,-0.01,0.08,0.05
1973,0.28,0.3,0.26,0.25,0.25,0.16,0.09,0.02,0.06,0.12,0.06,-0.06,0.15,0.17,0.25,0.25,0.09,0.08
1974,-0.14,-0.28,-0.05,-0.1,-0.01,-0.05,-0.03,0.11,-0.12,-0.07,-0.07,-0.09,-0.08,-0.07,-0.16,-0.05,0.01,-0.09
1975,0.07,0.07,0.13,0.06,0.16,-0.02,-0.03,-0.2,-0.03,-0.09,-0.16,-0.17,-0.02,-0.01,0.02,0.12,-0.08,-0.09
1976,-0.01,-0.06,-0.22,-0.1,-0.23,-0.15,-0.12,-0.18,-0.09,-0.26,-0.06,0.09,-0.12,-0.14,-0.08,-0.18,-0.15,-0.14
1977,0.18,0.2,0.25,0.27,0.3,0.25,0.23,0.19,0.02,0.04,0.2,0.05,0.18,0.18,0.16,0.27,0.22,0.09
1978,0.08,0.14,0.2,0.15,0.07,-0.03,0.07,-0.18,0.05,0,0.16,0.11,0.07,0.06,0.09,0.14,-0.05,0.07
1979,0.14,-0.09,0.19,0.13,0.05,0.13,0.02,0.14,0.27,0.25,0.29,0.47,0.17,0.14,0.05,0.12,0.1,0.27
1980,0.3,0.42,0.29,0.32,0.34,0.16,0.28,0.24,0.21,0.2,0.29,0.21,0.27,0.29,0.4,0.32,0.23,0.23
1981,0.56,0.41,0.48,0.31,0.25,0.3,0.34,0.34,0.17,0.13,0.21,0.41,0.33,0.31,0.39,0.35,0.33,0.17
1982,0.09,0.14,-0.01,0.09,0.16,0.05,0.13,0.08,0.15,0.13,0.14,0.42,0.13,0.13,0.21,0.08,0.08,0.14
1983,0.52,0.4,0.42,0.3,0.35,0.18,0.15,0.3,0.38,0.15,0.3,0.17,0.3,0.32,0.45,0.36,0.21,0.28
1984,0.3,0.18,0.29,0.08,0.33,0.04,0.16,0.15,0.19,0.14,0.04,-0.06,0.15,0.17,0.21,0.23,0.12,0.13
1985,0.21,-0.07,0.17,0.11,0.17,0.17,-0.01,0.14,0.14,0.11,0.09,0.15,0.12,0.1,0.03,0.15,0.1,0.11
1986,0.3,0.39,0.29,0.26,0.26,0.12,0.13,0.12,0.02,0.14,0.11,0.16,0.19,0.19,0.28,0.27,0.12,0.09
1987,0.36,0.46,0.17,0.24,0.25,0.36,0.45,0.28,0.39,0.32,0.24,0.47,0.33,0.31,0.33,0.22,0.36,0.32
1988,0.57,0.41,0.49,0.45,0.44,0.42,0.35,0.46,0.41,0.39,0.13,0.34,0.4,0.42,0.49,0.46,0.41,0.31
1989,0.15,0.35,0.36,0.33,0.17,0.14,0.33,0.35,0.36,0.32,0.21,0.37,0.29,0.28,0.28,0.28,0.28,0.3
1990,0.4,0.41,0.76,0.55,0.46,0.38,0.43,0.29,0.3,0.42,0.46,0.42,0.44,0.44,0.39,0.59,0.37,0.39
1991,0.42,0.5,0.35,0.52,0.39,0.54,0.51,0.42,0.5,0.32,0.31,0.32,0.42,0.43,0.44,0.42,0.49,0.37
1992,0.44,0.42,0.47,0.24,0.32,0.24,0.13,0.09,0,0.11,0.04,0.22,0.23,0.23,0.39,0.34,0.15,0.05
1993,0.37,0.39,0.35,0.27,0.26,0.23,0.28,0.13,0.11,0.23,0.07,0.19,0.24,0.24,0.33,0.3,0.21,0.13
1994,0.3,0.04,0.26,0.41,0.28,0.41,0.31,0.23,0.31,0.41,0.46,0.36,0.31,0.3,0.17,0.31,0.32,0.4
1995,0.5,0.77,0.44,0.47,0.28,0.44,0.47,0.47,0.34,0.48,0.44,0.29,0.45,0.45,0.54,0.4,0.46,0.42
1996,0.27,0.49,0.33,0.37,0.29,0.26,0.35,0.48,0.26,0.2,0.41,0.4,0.34,0.33,0.35,0.33,0.36,0.29
1997,0.32,0.37,0.51,0.37,0.38,0.54,0.35,0.42,0.55,0.64,0.65,0.59,0.47,0.46,0.36,0.42,0.44,0.61
1998,0.61,0.89,0.63,0.63,0.7,0.78,0.7,0.67,0.45,0.46,0.5,0.56,0.63,0.63,0.7,0.65,0.72,0.47
1999,0.48,0.66,0.34,0.33,0.32,0.37,0.41,0.34,0.43,0.43,0.41,0.46,0.41,0.42,0.57,0.33,0.37,0.42
2000,0.26,0.58,0.59,0.59,0.39,0.43,0.42,0.43,0.42,0.3,0.33,0.3,0.42,0.43,0.43,0.53,0.43,0.35
2001,0.43,0.45,0.57,0.52,0.58,0.54,0.61,0.48,0.55,0.51,0.7,0.55,0.54,0.52,0.4,0.56,0.54,0.59
2002,0.75,0.76,0.91,0.58,0.65,0.53,0.61,0.55,0.65,0.57,0.59,0.43,0.63,0.64,0.68,0.71,0.56,0.6
2003,0.73,0.55,0.57,0.55,0.62,0.48,0.55,0.66,0.66,0.75,0.54,0.75,0.62,0.59,0.57,0.58,0.56,0.65
2004,0.58,0.7,0.64,0.62,0.42,0.42,0.26,0.44,0.53,0.65,0.72,0.53,0.54,0.56,0.68,0.56,0.38,0.63
2005,0.73,0.59,0.68,0.69,0.64,0.66,0.65,0.62,0.78,0.79,0.75,0.68,0.69,0.68,0.61,0.67,0.64,0.77
2006,0.57,0.69,0.63,0.5,0.46,0.64,0.54,0.71,0.64,0.68,0.72,0.76,0.63,0.62,0.65,0.53,0.63,0.68
2007,0.96,0.7,0.7,0.75,0.67,0.58,0.62,0.6,0.64,0.59,0.57,0.49,0.66,0.68,0.81,0.71,0.6,0.6
2008,0.24,0.36,0.72,0.53,0.5,0.48,0.6,0.44,0.65,0.66,0.66,0.54,0.53,0.53,0.36,0.59,0.51,0.66
2009,0.61,0.53,0.53,0.6,0.65,0.65,0.71,0.66,0.7,0.65,0.77,0.65,0.64,0.63,0.56,0.59,0.67,0.71
2010,0.73,0.79,0.92,0.87,0.75,0.64,0.61,0.65,0.61,0.71,0.79,0.48,0.71,0.73,0.72,0.84,0.63,0.7
2011,0.51,0.53,0.64,0.64,0.53,0.58,0.74,0.73,0.56,0.66,0.57,0.54,0.6,0.6,0.51,0.6,0.68,0.6
2012,0.46,0.49,0.57,0.68,0.76,0.62,0.57,0.63,0.76,0.78,0.75,0.53,0.63,0.63,0.5,0.67,0.6,0.76
2013,0.68,0.56,0.66,0.53,0.61,0.65,0.59,0.66,0.78,0.69,0.81,0.67,0.66,0.64,0.59,0.6,0.63,0.76
2014,0.74,0.52,0.78,0.78,0.86,0.66,0.57,0.82,0.9,0.86,0.68,0.79,0.75,0.74,0.64,0.81,0.68,0.81
2015,0.82,0.87,0.91,0.74,0.78,0.78,0.72,0.78,0.81,1.07,1.01,1.1,0.86,0.84,0.83,0.81,0.76,0.96
2016,1.15,1.32,1.28,1.08,0.93,0.8,0.85,0.98,***,***,***,***,***,***,1.19,1.1,0.88,***
